fold,mode,val_loss,val_psd_D20_r2,val_psd_D40_r2,val_psd_D60_r2,val_psd_D80_r2,val_psd_max_r2,val_rosin_lambda_r2,val_rosin_k_r2,val_psd_mae,val_psd_rmse,val_psd_mape,val_psd_r2,val_rosin_mae,val_rosin_rmse,val_rosin_mape,val_rosin_r2,val_rank_violation,test_loss,test_psd_mae,test_psd_rmse,test_psd_mape,test_psd_r2,test_rosin_mae,test_rosin_rmse,test_rosin_mape,test_rosin_r2,test_rank_violation_rate,test_psd_D20_mae,test_psd_D20_rmse,test_psd_D20_mape,test_psd_D20_r2,test_psd_D40_mae,test_psd_D40_rmse,test_psd_D40_mape,test_psd_D40_r2,test_psd_D60_mae,test_psd_D60_rmse,test_psd_D60_mape,test_psd_D60_r2,test_psd_D80_mae,test_psd_D80_rmse,test_psd_D80_mape,test_psd_D80_r2,test_psd_max_mae,test_psd_max_rmse,test_psd_max_mape,test_psd_max_r2,test_rosin_lambda_mae,test_rosin_lambda_rmse,test_rosin_lambda_mape,test_rosin_lambda_r2,test_rosin_k_mae,test_rosin_k_rmse,test_rosin_k_mape,test_rosin_k_r2
1,conv_only,2.8659322261810303,-0.5246737003326416,0.19448155164718628,0.2036389708518982,0.16043925285339355,-0.32320237159729004,0.07017391920089722,-0.445642352104187,2.7517926692962646,6.341068267822266,22.41480827331543,-0.0578632578253746,0.8712961673736572,1.333072543144226,22.27520179748535,-0.1877342164516449,0.0,2.9387295246124268,2.787951707839966,6.715681552886963,22.625627517700195,-0.22297143936157227,0.8978073596954346,1.52885901927948,21.849380493164062,-0.02688610553741455,0.0,0.8406401872634888,1.1767727136611938,24.247974395751953,-0.4799555540084839,0.7535408735275269,1.1551036834716797,17.269376754760742,0.1581517457962036,1.0366655588150024,1.924664855003357,17.397945404052734,0.13686847686767578,1.7447283267974854,3.038499116897583,21.058120727539062,0.18294042348861694,9.56418228149414,14.486062049865723,33.15472412109375,-0.26203036308288574,1.108086347579956,1.8515100479125977,17.058149337768555,0.040817201137542725,0.6875283718109131,1.1165704727172852,26.64061164855957,-0.2741837501525879
2,conv_only,3.360797166824341,-1.562422275543213,-0.2625288963317871,-0.12110912799835205,-0.15189719200134277,-0.5469329357147217,-0.19782912731170654,-0.7904094457626343,3.1442668437957764,6.910220623016357,25.988439559936523,-0.5289781093597412,0.9992191791534424,1.5073751211166382,23.39290428161621,-0.4941192865371704,0.0,3.394866466522217,3.153035879135132,7.21009635925293,26.019514083862305,-0.40967273712158203,1.0219902992248535,1.675027847290039,23.390548706054688,-0.2326265573501587,0.0,1.1746848821640015,1.4718639850616455,34.64658737182617,-1.3152549266815186,0.9419830441474915,1.412431001663208,20.01560401916504,-0.25871217250823975,1.2062246799468994,2.1639328002929688,18.8450984954834,-0.09107434749603271,2.015169858932495,3.531609058380127,21.22602081298828,-0.10377562046051025,10.427117347717285,15.447046279907227,35.36427307128906,-0.43502676486968994,1.2697612047195435,2.040339708328247,19.272064208984375,-0.16480755805969238,0.7742194533348083,1.203515887260437,27.509033203125,-0.4803466796875
3,conv_only,2.9078097343444824,0.011649787425994873,-0.44582128524780273,0.0984644889831543,0.13125067949295044,0.005523800849914551,0.17793262004852295,-0.3947371244430542,2.7877299785614014,5.585166931152344,31.94721031188965,-0.039786506444215775,0.9489889144897461,1.264470100402832,26.17586326599121,-0.10840225219726562,0.0,3.054666042327881,2.903639793395996,6.02659797668457,32.5922737121582,0.01512610912322998,0.9750294089317322,1.4511319398880005,25.645307540893555,0.07487308979034424,0.0,0.7309334874153137,0.953782856464386,27.401491165161133,0.027784526348114014,1.235061764717102,1.4302114248275757,35.6244010925293,-0.2906022071838379,1.3574765920639038,1.9685968160629272,28.016550064086914,0.09701544046401978,2.3430917263031006,3.146176338195801,34.890140533447266,0.1240050196647644,8.851635932922363,12.840187072753906,37.028785705566406,0.00845634937286377,1.2724326848983765,1.7249822616577148,25.030370712280273,0.1674342155456543,0.6776261925697327,1.1117571592330933,26.260242462158203,-0.26322197914123535
4,conv_only,3.838155508041382,-1.9788501262664795,-0.27520060539245605,-0.13044774532318115,-0.34572625160217285,-0.7647750377655029,-0.8380669355392456,-0.5504262447357178,3.4314262866973877,7.377004623413086,28.155242919921875,-0.6989999413490295,1.2163797616958618,1.7893749475479126,27.043020248413086,-0.6942465901374817,0.0,3.821837902069092,3.400719404220581,7.646137237548828,27.734434127807617,-0.5853326320648193,1.22452974319458,1.9194213151931763,26.645030975341797,-0.6185575723648071,0.0,1.2970688343048096,1.5739169120788574,38.818565368652344,-1.6474459171295166,0.9278284907341003,1.4095923900604248,19.582956314086914,-0.25365781784057617,1.1885986328125,2.1595165729522705,18.414234161376953,-0.08662545680999756,2.288708209991455,3.8140439987182617,24.07183074951172,-0.2873804569244385,11.3013916015625,16.390316009521484,37.78461456298828,-0.6156370639801025,1.7443833351135254,2.4599599838256836,27.56101417541504,-0.6931885480880737,0.7046762704849243,1.1475863456726074,25.729045867919922,-0.34595489501953125
5,conv_only,3.0170528888702393,0.03712725639343262,0.0832587480545044,0.19687265157699585,0.030088424682617188,-0.45135581493377686,0.022447407245635986,-0.5774620771408081,2.866152048110962,6.6387505531311035,22.15357780456543,-0.02080174721777439,0.9113643765449524,1.3718622922897339,25.16914939880371,-0.27750733494758606,0.0,3.0896780490875244,2.9014339447021484,7.042494297027588,22.24894905090332,-0.3448977470397949,0.9401070475578308,1.5721317529678345,24.574647903442383,-0.0858386754989624,0.0,0.6399078369140625,0.9795482754707336,19.635883331298828,-0.02545166015625,0.8131742477416992,1.2495852708816528,18.140905380249023,0.01480168104171753,1.1049100160598755,1.9443086385726929,19.68178939819336,0.1191597580909729,1.8251149654388428,3.287609577178955,20.002716064453125,0.0434756875038147,10.124062538146973,15.194537162780762,33.78345489501953,-0.38849425315856934,1.1442768573760986,1.9119032621383667,17.673614501953125,-0.022777318954467773,0.7359370589256287,1.1348224878311157,31.475683212280273,-0.316180944442749
